text,label
"The Horrorist was an occult and horror-themed comic book limited series written by Jamie Delano, with art by David Lloyd, published by the DC Comics imprint Vertigo.  It was a spin-off of Vertigo's popular Hellblazer series and features the character John Constantine.  The book consisted of two 52-page issues without advertisements, published in December 1995 and January 1996 respectively. Plot
The story revolves around Angel, who as a young girl was rescued from war-torn Mozambique, and who witnessed the most unspeakable war crimes and atrocities.  As an adult, in the present day, Angel becomes a ""Horrorist"", that is, someone who redistributes pain by unveiling to people the suffering of others.  She travels America's roadways, annihilating people's solipsistic existence by exposing them to the unfettered scope of true oppression, famine and murder. Sometimes this takes the form of altered reality, such as several boys playing in the snow dying from landmines that were not there earlier.",human
"The Horrorist was a limited comic book series focused on occult and horror themes, created by Jamie Delano with illustrations by David Lloyd, and published under DC Comics' Vertigo label. It served as a spin-off from the well-known Hellblazer series and featured the character John Constantine. The series included two 52-page issues, free of advertisements, released in December 1995 and January 1996. 

The narrative centers on Angel, who was saved from the war-torn region of Mozambique as a child and witnessed horrific war crimes. As an adult in contemporary times, Angel becomes a ""Horrorist,"" a person who spreads pain by revealing the suffering of others. She journeys across America, shattering people's self-centered lives by confronting them with the harsh realities of oppression, famine, and murder. At times, this manifests as altered perceptions, such as boys playing in the snow suddenly dying from landmines that were previously invisible.",machine
"Akiem Jamar Hicks (born November 16, 1989) is an American football defensive end for the Chicago Bears of the National Football League (NFL). He was drafted by the New Orleans Saints in the third round of the 2012 NFL Draft and has also played for the New England Patriots. He played college football at Sacramento City College and at the University of Regina. Early years
A native of Sacramento, California, Hicks was born in Elk Grove, attended Del Campo High School in Fair Oaks, and began his college career at Sacramento City College. After the 2008 season, he was rated as a top junior college player and signed to play at LSU. However, recruiting violations by LSU made him ineligible for the 2009 season; unable to transfer to another American football program, he went to work at a DirecTV call center in Colorado Springs, Colorado while he considered his next move. Hicks had an offer to play for the Toronto Argonauts of the Canadian Football League, but decided instead to continue his education and college football career with the Regina Rams of the Canada West Universities Athletic Association. After his first season at Regina, he was drafted by the Omaha Nighthawks of the United Football League, but again decided to stay in college.  In his second year at Regina, he made 42 tackles and 6 1/2 sacks and was named the CWUAA's top lineman. A strong performance in the East-West Shrine Game increased his profile with NFL scouts.",human
"Akiem Jamar Hicks (born November 16, 1989) is a defensive end for the Chicago Bears in the National Football League (NFL). He was selected by the New Orleans Saints in the third round of the 2012 NFL Draft and has also played for the New England Patriots. Hicks played college football at Sacramento City College and the University of Regina. 

Hicks, originally from Sacramento, California, was born in Elk Grove and attended Del Campo High School in Fair Oaks. He began his college football journey at Sacramento City College. After the 2008 season, he was recognized as a top junior college player and signed with LSU. However, due to recruiting violations at LSU, he became ineligible for the 2009 season. Unable to transfer to another American football program, he worked at a DirecTV call center in Colorado Springs, Colorado, while contemplating his future. Although he received an offer from the Toronto Argonauts in the Canadian Football League, he chose to further his education and football career with the Regina Rams in the Canada West Universities Athletic Association. After his first season at Regina, he was drafted by the Omaha Nighthawks of the United Football League but opted to remain in college. In his second year at Regina, he recorded 42 tackles and 6.5 sacks, earning recognition as the CWUAA's top lineman. His strong showing in the East-West Shrine Game boosted his visibility among NFL scouts.",machine
"Frank John Viola Jr. (born April 19, 1960) is an American former starting pitcher in Major League Baseball who played for the Minnesota Twins (1982–1989), New York Mets (1989–1991), Boston Red Sox (1992–1994), Cincinnati Reds (1995), and Toronto Blue Jays (1996). A three-time All-Star, he was named World Series MVP with the Twins in 1987 and won the AL Cy Young Award in 1988. He is the pitching coach of the High Point Rockers. He batted and threw left-handed, and he was nicknamed ""Sweet Music"" – a nickname he picked up after a Minnesota sports writer declared that when Viola pitched, there was ""Sweet Music"" in the Hubert H. Humphrey Metrodome. The nickname was a play on the fact that his last name is also a name of a musical instrument, although pronounced differently. A fan began displaying a banner bearing the phrase in the outfield's upper deck whenever Viola pitched. Twins fans considered the banner to be a good luck charm.  The banner is now the property of the Minnesota Historical Society. It was again displayed when Viola was inducted into the Twins Hall of Fame. He was honored as a member of the Twins' ""All Dome"" team in 2009.",human
"Frank John Viola Jr. (born April 19, 1960) is a former Major League Baseball starting pitcher from the United States. He played for the Minnesota Twins (1982–1989), New York Mets (1989–1991), Boston Red Sox (1992–1994), Cincinnati Reds (1995), and Toronto Blue Jays (1996). A three-time All-Star, Viola was named the World Series MVP with the Twins in 1987 and received the AL Cy Young Award in 1988. Currently, he serves as the pitching coach for the High Point Rockers. He batted and threw with his left hand and earned the nickname ""Sweet Music"" after a Minnesota sports writer remarked that his pitching created ""Sweet Music"" in the Hubert H. Humphrey Metrodome. This nickname also played on the musical connotation of his last name, which is similar to that of a musical instrument, though pronounced differently. A fan would display a banner with this phrase in the upper deck of the outfield whenever Viola pitched, and Twins fans regarded it as a good luck charm. The banner is now held by the Minnesota Historical Society and was displayed again during Viola's induction into the Twins Hall of Fame. In 2009, he was recognized as a member of the Twins' ""All Dome"" team.",machine
"Boris Abbott Jacobsohn (30 July 1918, New York City – 26 December 1966) was an American physicist, known for his contributions to the study of muonic atoms. Jacobsohn graduated from Columbia University with B.S. in 1938 and M.S in 1939. At the beginning of the Manhattan Project, he worked with Enrico Fermi at Columbia. Jacobsohn, along with his wife Ruth, moved with Fermi's team in early 1942 to the University of Chicago for the team's relocation to the Metallurgical Laboratory, where he worked until the end of WWII. In late 1945, Edward Teller invited Maria Goeppert-Mayer, along with her two students Boris Jacobsohn and Harris Mayer, to Los Alamos to work on the development of the thermonuclear bomb. For this work, Jacobsohn received, in 1947 after declassification of the research, his Ph.D. from the University of Chicago with thesis under the supervision of Edward Teller. For the academic year 1947–1948, Jacobsohn was an instructor at Stanford University. In 1948 he became an assistant professor in the physics department of the University of Washington. There he was appointed a full professor in 1959 and remained until he died of a heart attack on a skiing vacation.",human
"Boris Abbott Jacobsohn (July 30, 1918 – December 26, 1966) was an American physicist recognized for his work on muonic atoms. He earned his B.S. in 1938 and M.S. in 1939 from Columbia University. At the onset of the Manhattan Project, he collaborated with Enrico Fermi at Columbia. In early 1942, Jacobsohn and his wife Ruth joined Fermi's team at the University of Chicago, where they relocated to the Metallurgical Laboratory, and he worked there until the conclusion of World War II. In late 1945, Edward Teller invited Maria Goeppert-Mayer and her students, including Jacobsohn and Harris Mayer, to Los Alamos to assist in developing the thermonuclear bomb. Jacobsohn was awarded his Ph.D. from the University of Chicago in 1947, after the research was declassified, with a thesis supervised by Edward Teller. During the 1947–1948 academic year, he served as an instructor at Stanford University. In 1948, he became an assistant professor in the physics department at the University of Washington, where he was promoted to full professor in 1959 and remained until his death from a heart attack while on a skiing vacation.",machine
"Judicial murder is the intentional and premeditated killing of an innocent person by means of capital punishment; therefore, it is a subset of wrongful execution. The Oxford English Dictionary describes it as ""death inflicted by process of law, capital punishment, esp. considered to be unjust or cruel"". Example
An early case in which charges of judicial murder were raised was the Amboyna massacre in 1623, which caused a legal dispute between the English and Dutch governments over the conduct of a court in the Dutch East Indies that had ordered the execution of ten English men accused of treason. The dispute centered around differing interpretations of the legal jurisdiction of the court in question. The English believed that this court had not been competent to try and execute these EIC members, and so believed the executions to have been fundamentally illegal, thus constituting ""judicial murder"". The Dutch, on the other hand, believed the court to have been fundamentally competent, and wished to focus instead on misconduct of the particular judges in the court.",human
"Judicial murder refers to the deliberate and premeditated execution of an innocent individual through capital punishment, making it a form of wrongful execution. The Oxford English Dictionary defines it as ""death imposed by legal proceedings, particularly capital punishment, viewed as unjust or cruel."" 

One notable instance where allegations of judicial murder arose was the Amboyna massacre in 1623, which led to a legal conflict between the English and Dutch governments regarding the actions of a court in the Dutch East Indies that sentenced ten English men accused of treason to death. The disagreement revolved around varying interpretations of the court's legal authority. The English contended that the court lacked the competence to try and execute these members of the East India Company, deeming the executions fundamentally illegal and thus qualifying as ""judicial murder."" Conversely, the Dutch maintained that the court was indeed competent and preferred to address the misconduct of the specific judges involved.",machine
"Ceol Aduaidh (Irish Gaelic for ""Music from the North"") is the first studio album by Frankie Kennedy and Mairéad Ní Mhaonaigh (who would go on to found the Irish band Altan), originally released in 1983 on the Gael-Linn Records label. It was reissued in 1994 by Green Linnet Records and a remastered edition was issued in 2009 by Gael-Linn. Critical reception
In the January–February 2010 issue of (French magazine) Trad' Mag, on the occasion of the album re-release by the Gael-Linn label, folk critic Philippe Cousin awarded Ceol Aduaidh full marks (giving the album a ""Bravo!!!"" award), calling it a «recording that is a historical milestone in the early 1980s presaging the beginnings of Altan» and stating: «On fully remastered Ceol Aduaidh, fiddler and singer Mairéad Ní Mhaonaigh and flutist Frankie Kennedy perform some of the typical Donegal dances such as Mazurkas (""Shoe the Donkey""), Highlands and Germans along with the inevitable Jigs and Reels. Mairéad Ní Mhaonaigh put her superb soprano voice on four songs from the North such as ""An Spealadóir"" which evokes the hard seasonal work in Scotland to whom the Donegal people were compelled.»",human
"Ceol Aduaidh, which translates from Irish Gaelic to ""Music from the North,"" is the debut studio album by Frankie Kennedy and Mairéad Ní Mhaonaigh, who later established the Irish band Altan. It was first released in 1983 under the Gael-Linn Records label, reissued in 1994 by Green Linnet Records, and a remastered version was released in 2009 by Gael-Linn. 

Critical reception
In the January–February 2010 edition of Trad' Mag, a French magazine, folk critic Philippe Cousin gave Ceol Aduaidh a perfect score (awarding it a ""Bravo!!!""), describing it as a ""historical milestone"" in the early 1980s that foreshadowed the emergence of Altan. He noted that on the fully remastered Ceol Aduaidh, fiddler and vocalist Mairéad Ní Mhaonaigh and flutist Frankie Kennedy showcase traditional Donegal dances, including Mazurkas (""Shoe the Donkey""), Highlands, and Germans, along with the customary Jigs and Reels. Mairéad Ní Mhaonaigh lends her beautiful soprano voice to four songs from the North, such as ""An Spealadóir,"" which reflects the challenging seasonal labor in Scotland that the Donegal people were forced to endure.",machine
"Earle O. Latham (1908–1999) was born in Lowell, Massachusetts. He attended Boston University, Rutgers University School of Banking and Columbia University Graduate School of Management. During 46 years of employment, Latham rose from a messenger to serve as the First Vice President of the Federal Reserve Bank of Boston. He was designated as a special emissary for the U.S. Department of State to the State of Ethiopia in 1963-1964 to establish the National Bank of Ethiopia. Latham married Harriet Irene Morrison of Malden, Massachusetts in 1936. They had two children; Patricia Ruth Latham (1938–1956) and O. Bradley Latham (1940-   ). Earle Latham taught banking at Harvard University Extension School. He was an officer of the American Bankers Association and served on many boards of charitable organizations, such as the United Way. In retirement, he moved to Boxford, Massachusetts, where he served for many years as the Chairman of the Boxford Conservation Commission. 1908 births
1999 deaths
20th-century American businesspeople
American bankers
American Bankers Association
Boston University alumni
Columbia Business School alumni
Harvard University staff
Rutgers University alumni",human
"Earle O. Latham (1908–1999) was born in Lowell, Massachusetts. He studied at Boston University, Rutgers University School of Banking, and Columbia University Graduate School of Management. Over his 46-year career, Latham advanced from a messenger to the position of First Vice President at the Federal Reserve Bank of Boston. In 1963-1964, he was appointed as a special envoy by the U.S. Department of State to assist in establishing the National Bank of Ethiopia. Latham married Harriet Irene Morrison from Malden, Massachusetts in 1936, and they had two children: Patricia Ruth Latham (1938–1956) and O. Bradley Latham (1940- ). He also taught banking at Harvard University Extension School and held a position as an officer in the American Bankers Association, serving on various charitable boards, including the United Way. After retiring, he relocated to Boxford, Massachusetts, where he was the Chairman of the Boxford Conservation Commission for many years.",machine
"Patty Loveless (born Patricia Lee Ramey; January 4, 1957),  is an American country music singer. Since emerging on the country music scene in late 1986 with her first (self-titled) album, Loveless has been one of the most popular female singers of neotraditional country. She also recorded albums in the country pop and bluegrass genres. Loveless was born in Pikeville, Kentucky, and raised in Elkhorn City, Kentucky, and Louisville, Kentucky. She rose to stardom thanks to her blend of honky tonk and country-rock and a plaintive, emotional ballad style. Loveless has sold 15 million albums worldwide. Loveless has charted more than 40 songs on the US Billboard Hot Country Songs charts, including five number ones: ""Timber, I'm Falling in Love"", ""Chains"", ""Blame It on Your Heart"", ""You Can Feel Bad"", and ""Lonely Too Long"". She has also released 16 studio albums; in the United States, four of these albums have been certified platinum by the Recording Industry Association of America (RIAA), and two have been certified gold. She has been a member of the Grand Ole Opry since 1988.
Loveless was married to Terry Lovelace, from whom she derived her professional name, from 1976 to 1986. She has been married to record producer Emory Gordy Jr. since 1989.",human
"Patty Loveless, born Patricia Lee Ramey on January 4, 1957, is a renowned American country music artist. She made her debut in the country music industry in late 1986 with her first album, which was self-titled, and has since become one of the leading female figures in neotraditional country music. In addition to country, she has also produced albums in the country pop and bluegrass styles. Loveless hails from Pikeville, Kentucky, and grew up in Elkhorn City and Louisville, Kentucky. Her rise to fame is attributed to her unique combination of honky tonk and country-rock, along with her heartfelt ballad singing. She has sold 15 million albums globally and has over 40 songs that have charted on the US Billboard Hot Country Songs, including five number one hits: ""Timber, I'm Falling in Love,"" ""Chains,"" ""Blame It on Your Heart,"" ""You Can Feel Bad,"" and ""Lonely Too Long."" Loveless has released 16 studio albums, with four of them achieving platinum status and two receiving gold certification from the Recording Industry Association of America (RIAA). She has been a member of the Grand Ole Opry since 1988. Loveless was previously married to Terry Lovelace, from whom she took her stage name, from 1976 until 1986, and has been married to record producer Emory Gordy Jr. since 1989.",machine
"Alexey Grigoryevich Rodin (Russian: Алексей Григорьевич Родин; 17 February 1902 – 27 May 1955) was a Soviet Army colonel general and Hero of the Soviet Union.  Born to a peasant family, Rodin was drafted into the Red Army in 1920. After fighting in the Russian Civil War, he became an officer and rose to command 50th Rifle Corps Armored and Mechanized forces during the Winter War. After the end of the war, Rodin became deputy commander of the 24th Tank Division and fought in the Baltic Operation and Leningrad Strategic Defensive. Given command of the 124th Tank Brigade in September 1941, he led the unit during battles around Leningrad and in the Lyuban Offensive Operation. From June 1942, Rodin commanded the 26th Tank Corps and led the unit during Operation Uranus. For its actions, the corps became the 1st Guards Tank Corps and Rodin received the title Hero of the Soviet Union. After Stalingrad, he was promoted to command the 2nd Tank Army and led it during Operation Kutuzov and the Battle of the Dnieper, but was dismissed due to lack of progress and heavy losses incurred in the army's advance. In September 1943, Rodin became commander of the Western Front (later 3rd Belorussian Front) Armored and Mechanized Forces, participating in Operation Suvorov, Operation Bagration and the East Prussian Offensive. Postwar, he became head of the Directorate of Combat Training of the Armored and Mechanized Forces before retirement in 1954.",human
"Alexey Grigoryevich Rodin (Russian: Алексей Григорьевич Родин; 17 February 1902 – 27 May 1955) was a colonel general in the Soviet Army and a Hero of the Soviet Union. He was born into a peasant family and was conscripted into the Red Army in 1920. After participating in the Russian Civil War, he advanced to the rank of officer and commanded the armored and mechanized forces of the 50th Rifle Corps during the Winter War. Following the war, he served as the deputy commander of the 24th Tank Division, engaging in the Baltic Operation and the Leningrad Strategic Defensive. In September 1941, he took command of the 124th Tank Brigade, leading it in battles around Leningrad and during the Lyuban Offensive Operation. From June 1942, he was in charge of the 26th Tank Corps, which played a significant role in Operation Uranus, earning the corps the designation of 1st Guards Tank Corps and Rodin the title of Hero of the Soviet Union. After the Battle of Stalingrad, he was promoted to lead the 2nd Tank Army, directing it during Operation Kutuzov and the Battle of the Dnieper, but was relieved of his command due to insufficient progress and significant losses. In September 1943, Rodin became the commander of the Armored and Mechanized Forces of the Western Front (later the 3rd Belorussian Front), participating in Operation Suvorov, Operation Bagration, and the East Prussian Offensive. After the war, he headed the Directorate of Combat Training for the Armored and Mechanized Forces until his retirement in 1954.",machine
"Lauren Cohan (born ) is a British-American actress best known for her role as Maggie Greene in the AMC post-apocalyptic horror television series The Walking Dead (2011–2018; 2020–present). Her other notable TV roles include Bela Talbot in the dark fantasy drama Supernatural (2007–2008), Rose in the supernatural teen drama The Vampire Diaries (2010–2012), Vivian McArthur Volkoff in the action comedy Chuck (2011), and Francesca ""Frankie"" Trowbridge in the action comedy-drama Whiskey Cavalier (2019). Her film appearances include the comedy Van Wilder: The Rise of Taj (2006), the psychological thriller horror The Boy (2016), the biographical drama All Eyez on Me (2017), and the action thriller Mile 22 (2018). Early life
Cohan was born Lauren Storholm in Cherry Hill, New Jersey, to American father Paul Storholm and Scottish mother, Susan Cohan (née Moorhouse), who are now divorced. She was raised in New Jersey until age 13, when her family moved to her mother's native United Kingdom, settling in Surrey. In addition to Cherry Hill, Cohan lived for one year in the state of Georgia before her family moved to the UK.",human
"Lauren Cohan is a British-American actress widely recognized for her portrayal of Maggie Greene in the AMC series The Walking Dead, which aired from 2011 to 2018 and resumed in 2020. She has also played significant roles in television, including Bela Talbot in the dark fantasy series Supernatural, Rose in the supernatural teen drama The Vampire Diaries, Vivian McArthur Volkoff in the action-comedy Chuck, and Francesca ""Frankie"" Trowbridge in the action-comedy-drama Whiskey Cavalier. Her film credits include the comedy Van Wilder: The Rise of Taj, the psychological horror thriller The Boy, the biographical drama All Eyez on Me, and the action thriller Mile 22. 

Cohan was born Lauren Storholm in Cherry Hill, New Jersey, to an American father, Paul Storholm, and a Scottish mother, Susan Cohan (née Moorhouse), who are now divorced. She spent her early years in New Jersey until the age of 13, when her family relocated to her mother's home country, the United Kingdom, settling in Surrey. Before moving to the UK, Cohan also lived in Georgia for a year.",machine
"Henry ""Hank"" A. Crumpton (born 1957) is a retired Central Intelligence Agency operations officer, in his 24 year career he was appointed deputy director of the Counterterrorism Center and head the CIA's National Resources Division, which focuses on operations in the United States. He played an instrumental role in the early days of the invasion of Afghanistan, leading CTC Special Operations paramilitary forces as some of the first people with boots on the ground in pursuit of the Taliban and al-Qaeda just weeks after 9/11. Gary Schroen's seven man Northern Alliance Liaison Team (NALT) forged alliances and established camp in the mountains, while Crumpton crafted a plan for a larger incursion alongside others like Greg Vogle and Chris Wood. He went on to be appointed by President George W. Bush as Coordinator for Counterterrorism at the Department of State with the rank of Ambassador-at-large on August 2, 2005. He is an author and co-founder, co-Chairman, and co-CEO of the business intelligence firm Martin+Crumpton Group LLC. Early life and education 
Crumpton grew up in rural Georgia. At age 16 he left home for Alabama, where he worked nights in a carpet factory while studying for his high school diploma during the day. He attended St. John's in Santa Fe, New Mexico, then transferred to the University of New Mexico where he earned a BA in political science in 1978. After graduating he traveled in Asia, the Soviet Union and Western Europe. He has a master's in international public policy from Johns Hopkins University’s School of Advanced International Studies, where he graduated with honors in 2003.",human
"Henry ""Hank"" A. Crumpton (born 1957) is a former operations officer with the Central Intelligence Agency. Over his 24-year career, he served as the deputy director of the Counterterrorism Center and led the CIA's National Resources Division, which is responsible for domestic operations. He was a key figure during the initial phase of the Afghanistan invasion, directing CTC Special Operations paramilitary teams as some of the first personnel on the ground in the hunt for the Taliban and al-Qaeda shortly after the September 11 attacks. While Gary Schroen's seven-member Northern Alliance Liaison Team (NALT) built alliances and set up camp in the mountains, Crumpton developed a strategy for a broader military engagement alongside colleagues such as Greg Vogle and Chris Wood. On August 2, 2005, he was appointed by President George W. Bush as the Coordinator for Counterterrorism at the Department of State, holding the title of Ambassador-at-large. He is also an author and a co-founder, co-chairman, and co-CEO of the business intelligence firm Martin+Crumpton Group LLC. 

In his early life, Crumpton was raised in rural Georgia. At 16, he moved to Alabama, where he worked night shifts in a carpet factory while completing his high school education during the day. He initially attended St. John's College in Santa Fe, New Mexico, before transferring to the University of New Mexico, where he obtained a BA in political science in 1978. After graduation, he traveled through Asia, the Soviet Union, and Western Europe. He earned a master's degree in international public policy from Johns Hopkins University’s School of Advanced International Studies, graduating with honors in 2003.",machine
